"Type","From","To","Anchor Text","Alt Text","Follow","Target","Rel","Status Code","Status","Path Type","Link Path","Link Position","Link Origin"
"Image","https://allo-electricien.pro/abbeville-la-riviere/","https://allo-electricien.pro/images/hero/electricien-urgence-abbeville-la-riviere-91150-hero.jpg","","Électricien d'urgence à ABBÉVILLE-LA-RIVIÈRE (91150) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/ableiges/","https://allo-electricien.pro/images/hero/electricien-urgence-ableiges-95450-hero.jpg","","Électricien d'urgence à ABLEIGES (95450) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/","https://allo-electricien.pro/images/hero/electricien-urgence-ablon-sur-seine-94480-hero.jpg","","Vidéo électricien ABLON-SUR-SEINE","True","","","404","Not Found","Root-Relative","//body/section[@id='videos']/div/div[2]/a[2]/div[1]/img","Content","HTML"
"Image","https://allo-electricien.pro/ablon-sur-seine/","https://allo-electricien.pro/images/hero/electricien-urgence-ablon-sur-seine-94480-hero.jpg","","Électricien d'urgence à ABLON-SUR-SEINE (94480) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[2]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/acheres-la-foret/","https://allo-electricien.pro/images/hero/electricien-urgence-acheres-la-foret-77760-hero.jpg","","Électricien d'urgence à ACHÈRES-LA-FORÊT (77760) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/adainville/","https://allo-electricien.pro/images/hero/electricien-urgence-adainville-78113-hero.jpg","","Électricien d'urgence à ADAINVILLE (78113) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/aigremont/","https://allo-electricien.pro/images/hero/electricien-urgence-aigremont-78240-hero.jpg","","Électricien d'urgence à AIGREMONT (78240) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/aincourt/","https://allo-electricien.pro/images/hero/electricien-urgence-aincourt-95510-hero.jpg","","Électricien d'urgence à AINCOURT (95510) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/","https://allo-electricien.pro/images/hero/electricien-urgence-alfortville-94140-hero.jpg","","Vidéo électricien ALFORTVILLE","True","","","404","Not Found","Root-Relative","//body/section[@id='videos']/div/div[2]/a[4]/div[1]/img","Content","HTML"
"Image","https://allo-electricien.pro/alfortville/","https://allo-electricien.pro/images/hero/electricien-urgence-alfortville-94140-hero.jpg","","Électricien d'urgence à ALFORTVILLE (94140) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[2]/div[1]/picture/img","Content","HTML"
"Image","https://allo-electricien.pro/allainville/","https://allo-electricien.pro/images/hero/electricien-urgence-allainville-78660-hero.jpg","","Électricien d'urgence à ALLAINVILLE (78660) - Dépannage 24/7","True","","","404","Not Found","Absolute","//body/section[1]/div[1]/picture/img","Content","HTML"
