slug,department,postal_code,issues,draft,path
"beauvais","60","","outside_idf","false","/home/proalloelectrici/hugosource/content/beauvais/index.md"
"chambly","60","","outside_idf","false","/home/proalloelectrici/hugosource/content/chambly/index.md"
"compiegne","60","","outside_idf","false","/home/proalloelectrici/hugosource/content/compiegne/index.md"
"la-verriere","60","","outside_idf","false","/home/proalloelectrici/hugosource/content/la-verriere/index.md"
"margny-les-compiegne","60","","outside_idf","false","/home/proalloelectrici/hugosource/content/margny-les-compiegne/index.md"
"annuaire","","","missing_department","false","/home/proalloelectrici/hugosource/content/annuaire/index.md"
"faq","","","missing_department","false","/home/proalloelectrici/hugosource/content/faq/index.md"
"mentions-legales","","","missing_department","false","/home/proalloelectrici/hugosource/content/mentions-legales/index.md"
"plan-site","","","missing_department","false","/home/proalloelectrici/hugosource/content/plan-site/index.md"
"politique-confidentialite","","","missing_department","false","/home/proalloelectrici/hugosource/content/politique-confidentialite/index.md"
"sos-electricien","","","missing_department","false","/home/proalloelectrici/hugosource/content/sos-electricien/index.md"
"tarifs","","","missing_department","false","/home/proalloelectrici/hugosource/content/tarifs/index.md"
"zones-intervention","","","missing_department","false","/home/proalloelectrici/hugosource/content/zones-intervention/index.md"
